,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic
0,1,0.5999999999999999,1.1102230246251565e-16,0.4,0.0
1,2,0.5999999999999999,1.1102230246251565e-16,0.5999999999999999,1.1102230246251565e-16
2,3,0.4666666666666667,0.0,0.4666666666666667,0.0
3,4,0.5999999999999999,1.1102230246251565e-16,0.5,0.0
4,5,0.5999999999999999,1.1102230246251565e-16,0.4800000000000001,1.1102230246251565e-16
5,6,0.5333333333333333,0.0,0.4666666666666667,0.0
6,7,0.5999999999999999,1.1102230246251565e-16,0.48571428571428565,5.551115123125783e-17
7,8,0.4749999999999999,5.551115123125783e-17,0.4749999999999999,5.551115123125783e-17
8,9,0.5111111111111111,0.0,0.4888888888888888,5.551115123125783e-17
9,10,0.5199999999999999,1.1102230246251565e-16,0.5,0.0
10,11,0.5272727272727272,0.0,0.5272727272727272,0.0
11,12,0.5666666666666667,0.0,0.5833333333333333,1.1102230246251565e-16
12,13,0.5538461538461539,0.0,0.5384615384615384,0.0
13,14,0.5714285714285714,0.0,0.5857142857142856,1.1102230246251565e-16
14,15,0.5733333333333334,0.0,0.5466666666666666,0.0
15,16,0.6500000000000001,1.1102230246251565e-16,0.5625,0.0
16,17,0.6470588235294119,1.1102230246251565e-16,0.588235294117647,1.1102230246251565e-16
17,18,0.6555555555555557,1.1102230246251565e-16,0.611111111111111,1.1102230246251565e-16
18,19,0.6947368421052633,1.1102230246251565e-16,0.6210526315789473,1.1102230246251565e-16
19,20,0.6799999999999999,1.1102230246251565e-16,0.6399999999999999,1.1102230246251565e-16
20,21,0.6666666666666667,1.1102230246251565e-16,0.5809523809523809,1.1102230246251565e-16
21,22,0.690909090909091,1.1102230246251565e-16,0.6454545454545455,0.0
22,23,0.6869565217391305,0.0,0.6347826086956523,1.1102230246251565e-16
23,24,0.6616541353383457,1.1102230246251565e-16,0.6015037593984962,0.0
24,25,0.6956521739130433,1.1102230246251565e-16,0.6376811594202898,0.0
25,26,0.6783216783216783,0.0,0.6573426573426573,0.0
26,27,0.6832298136645962,0.0,0.6459627329192548,1.1102230246251565e-16
27,28,0.6626506024096386,0.0,0.6566265060240963,0.0
28,29,0.6666666666666667,1.1102230246251565e-16,0.6608187134502924,0.0
29,30,0.6420454545454547,1.1102230246251565e-16,0.6022727272727273,0.0
30,31,0.6353591160220995,0.0,0.5966850828729282,0.0
31,32,0.6612903225806451,0.0,0.5913978494623657,1.1102230246251565e-16
32,33,0.6282722513089005,0.0,0.5968586387434555,0.0
33,34,0.6785714285714286,0.0,0.607142857142857,1.1102230246251565e-16
34,35,0.6766169154228855,1.1102230246251565e-16,0.5920398009950248,0.0
35,36,0.6796116504854368,1.1102230246251565e-16,0.6019417475728155,0.0
36,37,0.6919431279620853,0.0,0.6066350710900474,0.0
37,38,0.6666666666666667,1.1102230246251565e-16,0.6018518518518519,0.0
38,39,0.6696832579185521,1.1102230246251565e-16,0.6018099547511311,1.1102230246251565e-16
39,40,0.672566371681416,0.0,0.5929203539823009,0.0
40,41,0.6753246753246753,0.0,0.5800865800865801,0.0
41,42,0.6525423728813561,1.1102230246251565e-16,0.6016949152542372,0.0
42,43,0.6639004149377594,1.1102230246251565e-16,0.6099585062240663,1.1102230246251565e-16
43,44,0.6666666666666667,1.1102230246251565e-16,0.5975609756097561,0.0
44,45,0.653386454183267,1.1102230246251565e-16,0.6175298804780878,1.1102230246251565e-16
45,46,0.66796875,0.0,0.59765625,0.0
46,47,0.6605839416058394,0.0,0.6058394160583942,0.0
47,48,0.6200716845878136,0.0,0.5985663082437276,0.0
48,49,0.6584507042253521,0.0,0.5950704225352113,0.0
49,50,0.6643598615916954,1.1102230246251565e-16,0.6262975778546714,1.1102230246251565e-16
50,51,0.6734693877551019,1.1102230246251565e-16,0.608843537414966,0.0
51,52,0.6488294314381271,0.0,0.6053511705685619,0.0
52,53,0.6644736842105263,0.0,0.6019736842105263,0.0
53,54,0.656957928802589,0.0,0.6051779935275082,1.1102230246251565e-16
54,55,0.6273885350318471,0.0,0.6050955414012738,1.1102230246251565e-16
55,56,0.6426332288401254,0.0,0.6018808777429466,1.1102230246251565e-16
56,57,0.6450617283950617,0.0,0.611111111111111,1.1102230246251565e-16
57,58,0.6474164133738601,0.0,0.6109422492401215,0.0
58,59,0.6766467065868264,0.0,0.6167664670658681,1.1102230246251565e-16
59,60,0.6666666666666667,1.1102230246251565e-16,0.6135693215339233,0.0
60,61,0.6453488372093024,0.0,0.6046511627906976,0.0
61,62,0.6762177650429798,1.1102230246251565e-16,0.6074498567335243,1.1102230246251565e-16
62,63,0.655367231638418,0.0,0.6158192090395481,1.1102230246251565e-16
63,64,0.6852367688022285,1.1102230246251565e-16,0.607242339832869,1.1102230246251565e-16
64,65,0.6565934065934067,1.1102230246251565e-16,0.6236263736263737,1.1102230246251565e-16
65,66,0.6666666666666667,1.1102230246251565e-16,0.6151761517615177,1.1102230246251565e-16
66,67,0.6497326203208555,1.1102230246251565e-16,0.6122994652406417,0.0
67,68,0.6649076517150396,0.0,0.6174142480211081,1.1102230246251565e-16
68,69,0.6458333333333333,1.1102230246251565e-16,0.6197916666666667,1.1102230246251565e-16
69,70,0.6426735218508998,0.0,0.61439588688946,1.1102230246251565e-16
70,71,0.6522842639593909,0.0,0.6192893401015229,1.1102230246251565e-16
71,72,0.6766917293233082,0.0,0.6265664160401003,1.1102230246251565e-16
72,73,0.6584158415841584,0.0,0.6262376237623763,1.1102230246251565e-16
73,74,0.694,0.0,0.646,0.0
