,Older,Younger,Drink more,Drink less,Unhealthy,Healthy
226,0,5,0,3,0,4
227,0,4,0,5,0,0
228,0,0,0,0,0,0
229,0,5,0,4,0,3
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,5,0,0,0,0
233,0,4,0,4,0,0
234,0,0,0,0,0,0
235,0,3,0,5,0,4
236,0,3,0,3,0,3
237,0,5,0,3,0,3
238,0,0,0,0,0,0
239,0,3,0,5,0,3
240,0,5,0,3,0,4
241,0,3,0,5,0,3
242,0,0,0,0,0,0
243,0,0,0,4,0,4
244,0,0,0,0,0,5
245,0,5,0,0,0,0
246,0,0,0,5,0,0
247,4,0,0,4,0,3
248,0,4,0,0,0,4
249,0,4,0,3,0,5
250,0,4,0,4,0,3
251,0,5,0,4,0,3
252,0,5,0,3,0,4
253,0,0,0,0,0,0
254,0,4,0,5,0,3
255,0,3,0,3,0,3
256,0,4,0,5,0,3
257,0,0,0,0,0,0
258,0,3,0,4,0,4
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,3,0,4,0,5
262,0,0,0,0,0,0
263,4,0,4,0,3,0
264,3,0,0,5,0,4
265,0,5,0,3,0,4
266,0,5,0,0,0,0
267,0,0,0,0,0,0
268,0,0,0,0,0,0
269,0,3,0,3,0,3
270,0,0,0,0,0,0
271,0,5,0,4,0,0
272,0,4,0,0,0,4
273,0,4,0,5,3,0
274,0,5,0,0,0,4
275,0,4,0,0,0,4
276,0,5,0,0,4,0
277,0,5,0,4,0,0
278,0,5,0,3,0,3
279,0,4,0,5,0,0
280,0,0,0,0,0,0
281,0,5,0,4,0,3
282,0,5,0,3,0,4
283,0,4,0,3,0,5
284,0,3,0,3,0,3
285,0,5,0,0,0,0
286,0,5,0,0,0,0
287,0,5,0,4,0,3
288,0,0,0,5,0,0
