,ScenarioType
Utilitarian,0.1590270046345442
Species,0.1548377909535769
Gender,0.15440152240892732
Age,0.14911322269114258
Fitness,0.13924733966807343
Random,0.12457473526137276
Social Status,0.11879838438236284
