,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_borda,std_borda
0,1,0.7750247770069375,1.1102230246251565e-16,0.6692269573835482,1.1102230246251565e-16,0.772175421209118,0.0
1,2,0.7327372081470443,1.1102230246251565e-16,0.726775956284153,0.0,0.7471435668156979,0.0
2,3,0.7944472111553785,0.0,0.7553535856573707,1.1102230246251565e-16,0.7928286852589641,0.0
3,4,0.8045431852221668,1.1102230246251565e-16,0.7923115327009487,1.1102230246251565e-16,0.7812031952071891,1.1102230246251565e-16
4,5,0.8362112112112111,1.1102230246251565e-16,0.8181931931931932,0.0,0.79491991991992,0.0
5,6,0.7836176618163574,1.1102230246251565e-16,0.8196186653286504,1.1102230246251565e-16,0.8215002508780731,1.1102230246251565e-16
6,7,0.8063380281690142,1.1102230246251565e-16,0.829728370221328,0.0,0.8219315895372233,0.0
7,8,0.7861825516893595,1.1102230246251565e-16,0.8199697428139183,0.0,0.8596822995461422,0.0
8,9,0.804726996966633,0.0,0.8196410515672398,1.1102230246251565e-16,0.8592012133468149,1.1102230246251565e-16
9,10,0.8201976685250887,0.0,0.8193106943740498,1.1102230246251565e-16,0.8592245311708059,0.0
10,11,0.7837906504065042,1.1102230246251565e-16,0.8189786585365854,0.0,0.8596290650406504,0.0
11,12,0.8192817116658176,0.0,0.8185175751400917,0.0,0.8596535914416709,0.0
12,13,0.80988253319714,0.0,0.8194586312563841,0.0,0.8608273748723188,1.1102230246251565e-16
13,14,0.814900153609831,0.0,0.8191244239631337,0.0,0.8608550947260625,0.0
14,15,0.8293121149897329,1.1102230246251565e-16,0.8089065708418891,0.0,0.8594712525667351,0.0
15,16,0.8376222336592898,0.0,0.8198661863098302,0.0,0.8597529593412249,0.0
16,17,0.8273993808049536,0.0,0.8208204334365325,0.0,0.8593911248710009,1.1102230246251565e-16
17,18,0.8345835488877393,1.1102230246251565e-16,0.8300569063631661,0.0,0.8600620796689086,1.1102230246251565e-16
18,19,0.8287085062240663,1.1102230246251565e-16,0.8187240663900415,0.0,0.8599585062240663,1.1102230246251565e-16
19,20,0.8290431617264691,0.0,0.8190327613104526,1.1102230246251565e-16,0.8601144045761832,1.1102230246251565e-16
