,n_rows,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_freedman,std_freedman
0,50,0.54,0.07999999999999999,0.6,0.260768096208106,0.68,0.07483314773547885
1,60,0.8,0.11303883305208781,0.7833333333333333,0.1545603082582617,0.9166666666666667,0.05270462766947298
2,70,0.8714285714285713,0.0534522483824849,0.7857142857142858,0.10101525445522107,0.9285714285714285,0.04517539514526258
3,80,0.8375,0.08477912478906585,0.825,0.10752906583803283,0.925,0.06123724356957945
4,90,0.9111111111111111,0.04444444444444447,0.7666666666666667,0.11331154474650632,0.9333333333333332,0.041573970964154924
5,100,0.9,0.06324555320336755,0.8,0.1,0.93,0.05099019513592784
6,110,0.8636363636363636,0.07606000241218869,0.8,0.08430562268632459,0.9272727272727274,0.0222680885707562
7,120,0.8833333333333334,0.04082482904638627,0.8083333333333333,0.07728015412913088,0.925,0.048591265790377515
8,130,0.9307692307692308,0.044853476114194636,0.8076923076923077,0.07692307692307694,0.923076923076923,0.042132504423474326
9,140,0.8428571428571429,0.05802884574739973,0.8214285714285714,0.0391230398217976,0.9142857142857143,0.01749635530559412
10,150,0.9066666666666668,0.05333333333333332,0.8066666666666666,0.08537498983243799,0.9200000000000002,0.045215533220835116
11,160,0.8375,0.0414578098794425,0.7625,0.0852386356061616,0.90625,0.05229125165837972
12,170,0.8411764705882352,0.07578881603955955,0.8,0.053912655234774544,0.8941176470588236,0.054550697032327684
13,180,0.8666666666666668,0.07114582486036497,0.7944444444444445,0.06478835438717001,0.8944444444444443,0.06186404847588912
14,190,0.8315789473684211,0.06359497880839249,0.8157894736842104,0.04403473823863557,0.8894736842105264,0.0452753961423296
15,200,0.85,0.02738612787525829,0.825,0.02738612787525829,0.8949999999999999,0.024494897427831803
16,210,0.8619047619047618,0.04364357804719848,0.8095238095238095,0.11167656571008164,0.9,0.04616837959444122
17,220,0.8545454545454545,0.04679831882266817,0.8590909090909091,0.05995866344669506,0.8954545454545455,0.05492293624361167
18,230,0.8739130434782609,0.06507230237867724,0.8347826086956521,0.06389973242043072,0.8956521739130435,0.057351765035969206
19,240,0.8791666666666667,0.046398036356916854,0.8666666666666666,0.050346024889977366,0.9,0.024295632895188747
