,UserCountry3
USA,0.2568003521217927
DEU,0.06952075188359268
BRA,0.05621909225073143
FRA,0.0554695388757994
GBR,0.05173342308986873
CAN,0.03998006369261839
RUS,0.035847810889884264
AUS,0.027671335732594567
ESP,0.02531522667840406
TUR,0.023759159050306813
ITA,0.022566864303653265
CZE,0.021904046811485386
JPN,0.02152603371048339
POL,0.02129689563213629
BEL,0.020208166118633974
HUN,0.01966315407917562
SWE,0.014950935970794605
NLD,0.014592341351008467
FIN,0.012319084483338943
MEX,0.00998239391036429
AUT,0.009073608989462238
CHE,0.00851435673044559
UKR,0.008474225202599488
SGP,0.007568029412526215
DNK,0.0073880848199259505
PRT,0.006848251042125159
ISR,0.0068288325609093025
NOR,0.006294177044766072
SVK,0.006090930274706781
ARG,0.006031380265644823
ROU,0.0058061258835408955
LTU,0.00558734432850892
NZL,0.005359500815576211
TWN,0.004661730057219792
,0.004318670222406338
IND,0.004231934339642182
KOR,0.0042241669471558396
CHL,0.0039044092898014135
HKG,0.0038836962431711675
PHL,0.003782720140848717
IRL,0.0037166973047148073
COL,0.003650674468580897
IDN,0.003283017890894027
GRC,0.0032286461434896307
THA,0.0030253993734303394
MYS,0.0025075732076741838
BGR,0.0024234264557388085
BLR,0.0017450741785982446
VNM,0.0016997643890945809
HRV,0.0016997643890945809
ZAF,0.001682935038707506
EST,0.0016156176371592056
PER,0.0015819589363850555
SAU,0.0015081687077648034
VEN,0.0014978121844496802
LVA,0.00143049478290138
CHN,0.001377417600911374
SRB,0.0012285425782564794
ARE,0.001194883877482329
URY,0.0010770784247728037
CRI,0.0010770784247728037
SVN,0.000841467519353753
MKD,0.000811692514822774
MAR,0.0007909794681925277
KAZ,0.0007741501178054527
ECU,0.0006731740154830024
PAK,0.0006563446650959273
AZE,0.0006395153147088522
EGY,0.0006356316184656811
ISL,0.0006058566139347021
IRN,0.0005553685627734769
LUX,0.0005553685627734769
BIH,0.0004880511612251767
DZA,0.0004880511612251767
TUN,0.0004207337596768765
QAT,0.00038707505890272635
GEO,0.0003702457085156513
GTM,0.0003702457085156513
PRY,0.00035212179271418585
LBN,0.0003197576573544261
KWT,0.0003197576573544261
DOM,0.000286098956580276
MLT,0.00026926960619320093
PRI,0.00026926960619320093
CYP,0.00023561090541905083
JOR,0.00023561090541905083
BGD,0.00021878155503197576
PAN,0.0002019522046449007
ALB,0.0002019522046449007
MDA,0.0002019522046449007
JAM,0.00018512285425782566
IRQ,0.00018512285425782566
LKA,0.0001682935038707506
HND,0.0001682935038707506
MUS,0.0001682935038707506
SLV,0.00015146415348367553
PYF,0.00015146415348367553
REU,0.00015146415348367553
ARM,0.00013463480309660046
BOL,0.00013463480309660046
OMN,0.00011780545270952541
KGZ,0.00011780545270952541
BHR,0.00011780545270952541
GIB,0.00010097610232245035
NIC,0.00010097610232245035
MNG,0.00010097610232245035
KEN,8.41467519353753e-05
PSE,8.41467519353753e-05
AGO,6.731740154830023e-05
GGY,6.731740154830023e-05
IMN,6.731740154830023e-05
AFG,6.731740154830023e-05
MMR,6.731740154830023e-05
JEY,6.731740154830023e-05
SYR,6.731740154830023e-05
TZA,6.731740154830023e-05
SEN,5.0488051161225174e-05
KHM,5.0488051161225174e-05
NCL,5.0488051161225174e-05
GUM,5.0488051161225174e-05
BHS,5.0488051161225174e-05
MDV,5.0488051161225174e-05
LAO,5.0488051161225174e-05
GLP,5.0488051161225174e-05
FRO,5.0488051161225174e-05
BRN,5.0488051161225174e-05
MTQ,3.3658700774150116e-05
CIV,3.3658700774150116e-05
BMU,3.3658700774150116e-05
ALA,3.3658700774150116e-05
MNE,3.3658700774150116e-05
FJI,3.3658700774150116e-05
AND,3.3658700774150116e-05
GUF,3.3658700774150116e-05
TTO,3.3658700774150116e-05
ABW,3.3658700774150116e-05
GHA,3.3658700774150116e-05
BRB,3.3658700774150116e-05
NGA,3.3658700774150116e-05
UZB,3.3658700774150116e-05
ATG,3.3658700774150116e-05
GRL,1.6829350387075058e-05
RWA,1.6829350387075058e-05
SYC,1.6829350387075058e-05
SXM,1.6829350387075058e-05
SDN,1.6829350387075058e-05
BWA,1.6829350387075058e-05
MCO,1.6829350387075058e-05
VAT,1.6829350387075058e-05
MAC,1.6829350387075058e-05
TJK,1.6829350387075058e-05
YEM,1.6829350387075058e-05
MDG,1.6829350387075058e-05
SMR,1.6829350387075058e-05
LIE,1.6829350387075058e-05
NPL,1.6829350387075058e-05
CPV,1.6829350387075058e-05
MYT,1.6829350387075058e-05
BLZ,1.6829350387075058e-05
PNG,1.6829350387075058e-05
SUR,1.6829350387075058e-05
CUB,1.6829350387075058e-05
MNP,1.6829350387075058e-05
NAM,1.6829350387075058e-05
MWI,1.4240219558294281e-05
